,n,mu,partition,acc_measure,acc_value
310,100000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.685347049
311,100000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.000118201
312,100000,0.9,Leiden-MOD,NMI,0.017610787
313,100000,0.9,Leiden-MOD,ARI,1.75E-05
314,100000,0.9,ECG,NMI,0.058340531
315,100000,0.9,ECG,ARI,2.03E-05
316,100000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.028842055
317,100000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,3.26E-05
318,100000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.056312401
319,100000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,7.94E-05
320,100000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.670080795
321,100000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,1.68E-05
322,100000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.685103658
323,100000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,3.02E-06
,1000,0.1,FastConsensus(Louvain),NMI,0.818799185
,1000,0.1,FastConsensus(Louvain),ARI,0.510646035
,1000,0.2,FastConsensus(Louvain),NMI,0.8622888
,1000,0.2,FastConsensus(Louvain),ARI,0.547555822
,1000,0.3,FastConsensus(Louvain),NMI,0.781477009
,1000,0.3,FastConsensus(Louvain),ARI,0.353970483
,1000,0.4,FastConsensus(Louvain),NMI,0.65692455
,1000,0.4,FastConsensus(Louvain),ARI,0.128134449
,1000,0.5,FastConsensus(Louvain),NMI,0.538414021
,1000,0.5,FastConsensus(Louvain),ARI,0.07183919
,1000,0.6,FastConsensus(Louvain),NMI,0.356312488
,1000,0.6,FastConsensus(Louvain),ARI,0.028135541
,1000,0.7,FastConsensus(Louvain),NMI,0.341218699
,1000,0.7,FastConsensus(Louvain),ARI,0.010516983
,1000,0.8,FastConsensus(Louvain),NMI,0.265890958
,1000,0.8,FastConsensus(Louvain),ARI,-0.003261314
,1000,0.9,FastConsensus(Louvain),NMI,
,1000,0.9,FastConsensus(Louvain),ARI,
,10000,0.1,FastConsensus(Louvain),NMI,0.884007684
,10000,0.1,FastConsensus(Louvain),ARI,0.675225712
,10000,0.2,FastConsensus(Louvain),NMI,0.901342002
,10000,0.2,FastConsensus(Louvain),ARI,0.747664439
,10000,0.3,FastConsensus(Louvain),NMI,0.788858898
,10000,0.3,FastConsensus(Louvain),ARI,0.26010921
,10000,0.6,FastConsensus(Louvain),NMI,0.293434567
,10000,0.6,FastConsensus(Louvain),ARI,0.028415373
,10000,0.7,FastConsensus(Louvain),NMI,0.469224844
,10000,0.7,FastConsensus(Louvain),ARI,0.005927911
,10000,0.9,FastConsensus(Louvain),NMI,0.507005014
,10000,0.9,FastConsensus(Louvain),ARI,4.67E-05
